Date,Start Time,End Time,Location,Event Name,People
7/17/2022,12:00 PM,2:00 PM,Splash 1&2,CMO & Sales and Customer Care Executive Summit,Melissa Harris
7/17/2022,2:30 PM,4:30 PM,Splash 1&2,CIO/CTO & Engineering Executive Summit,Melissa Harris
7/17/2022,3:30 PM,4:30 PM,,CANTO meeting with ICT Ministers (by invitation only),
7/17/2022,4:45 PM,5:30 PM,Splash 1&2,Welcome Session,Melissa Harris
7/17/2022,6:30 PM,7:30 PM,Sparkle West,Opening Ceremony,Teresa Wankin; David Cox; Brigadier (Ret'd) The Honourable Mark Phillips
7/17/2022,7:30 PM,9:30 PM,Sparkle East,Exhibition Viewing & Networking Reception Sponsored by CW,
7/18/2022,9:30 AM,10:00 AM,Sparkle West,Conference Feature Presentation- The Future of Broadband in the Caribbean,Claudia Restrepo; Aamir Hussain
7/18/2022,10:00 AM,10:30 AM,,Conference Keynote: Prospects for Recovery in the Post Pandemic era,Dr. Hyginus Leon
7/18/2022,10:30 AM,10:45 AM,Luster Gallerie,Coffee Break,
7/18/2022,10:45 AM,11:15 AM,,Not Quite Over: Reflections on the Good and Bad Economic Impacts of the COVID Pandemic,David Cox; Dr. Erik Whitlock
7/18/2022,11:15 AM,11:45 AM,Sparkle West,JUMP - A Cable & Wireless Initiative to Connect People,Claudia Restrepo; Rosario Veras
7/18/2022,11:45 AM,1:00 PM,Sparkle West,Panel Discussion: Connecting the Unconnected,Daniel Best; Hon. Floyd Green; Annie Baldeo; Tom Sullivan
7/18/2022,12:00 PM,5:00 PM,Sparkle East,Monday Exhibition Hours,
7/18/2022,1:00 PM,2:30 PM,Sparkle East,Networking Lunch & Exhibition Viewing & Spotlight on Emerging Technologies,
7/18/2022,2:30 PM,3:00 PM,Sparkle West,WiFi Forever,Sergio Rodriguez
7/18/2022,3:00 PM,3:15 PM,,Opportunities for Governments to combine digital transformation and Sustainable Inclusion,Darren Ware
7/18/2022,3:15 PM,4:00 PM,Sparkle West,Ministerial Panel Discussion: Digital Transformation,Hon. Floyd Green; Hon. Davidson Ishmael; Wayne Nakhid
7/18/2022,4:00 PM,4:15 PM,Sparkle West,The Principles of Great Governance: What Every 21st-century Board Member Needs to Know,Dr. Chris Bart
7/18/2022,4:15 PM,4:30 PM,Sparkle West,The Metaverse and Regulatory Challenges for the Caribbean,Sebastian Kaplan
7/18/2022,4:30 PM,4:45 PM,Sparkle East,Coffee Break: Sponsored by META,
7/18/2022,3:15 PM,4:00 PM,Sparkle West,Panel Discussion: Antifraud and Cybersecurity Solutions to Protect your Business,Juan Manuel Rodriguez; Sergei Okhrimenko; Conor McGowan; Rory Ebanks
7/19/2022,8:00 AM,9:00 AM,Splash 9&10,Digicel Sponsored Ministerial Breakfast (by Invitation only),
7/19/2022,9:00 AM,9:20 AM,Sparkle West,Conference Keynote,Professor Alexandre deStreel
7/19/2022,9:20 AM,9:40 AM,Sparkle West,Keynote: Shaping the Data Economy for Success,Denis OBrien
7/19/2022,9:40 AM,10:35 AM,Sparkle West,Regulating the Digital Economy  The Caribbean Approach and International Best Practice,Veronica Bocarova; Dr. Natasha Ward; Cordel Green; David Geary; Mani Manimohan; Said Zaghloul
